preset_id,approach,flagged,flag_reasons,geometry_flag_reasons,physics_flag_reasons,consistency_flag_reasons,contact_to_mesh_mm,contact_to_centerline_mm,target_depth_mm,target_lateral_offset_mm,target_in_sector,target_in_forward_hemisphere,station_overlap_fraction_in_fan,target_centerline_offset_fraction,target_sector_coverage_fraction,near_field_wall_occupancy_fraction,non_background_occupancy_fraction,empty_sector_fraction,sector_brightness_mean,consistency_bucket,support_logic_active,support_logic_mode,nUS_delta_deg_from_voxel_baseline,contact_delta_mm_from_voxel_baseline,contact_refinement_ambiguity,target_contrast_vs_sector,wall_contrast_vs_sector,vessel_contrast_vs_sector,localizer_panel_png,localizer_clean_png,physics_png,physics_json,eval_summary_json,review_sheet_md,reference_count,reference_ids,reference_index_json,physics_debug_map_count,cutaway_side,cutaway_mode,vessel_overlay_names,review_json,warnings
station_4r_node_b,default,True,contact refinement remained ambiguous,contact refinement remained ambiguous,,,0.0407480155624235,6.153406233839823,10.553114624171032,-0.28636387182133527,True,True,0.209887250650477,0.04700003677688242,0.053772766695576756,0.02,1.0,0.0,0.39372360706329346,mixed_occupancy,,,3.78575179256146,0.0407480155624235,True,0.03176650032401085,0.8728341422975063,-0.04321222007274628,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_4r_node_b/default/localizer_panel.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_4r_node_b/default/localizer_clean.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_4r_node_b/default/physics.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_4r_node_b/default/physics.json,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_4r_node_b/default/eval_summary.json,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_4r_node_b/default/review_sheet.md,1,example_station_4r_node_b_placeholder,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_4r_node_b/default/reference_index.json,0,right,lateral,"superior_vena_cava,azygous,pulmonary_artery",/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_4r_node_b/default/review_entry.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_7_node_a,lms,True,vessel contrast -0.010 > -0.010,,vessel contrast -0.010 > -0.010,,0.010870763241346887,4.628096082081661,20.35744414729004,-8.064392405751857,True,True,0.7267996530789246,0.6861341373639098,0.049436253252385085,1.0,0.9965307892454467,0.003469210754553309,0.35097792744636536,mixed_occupancy,,,2.535013071491338,0.496474890091123,False,0.03631897270679474,0.09999731928110123,-0.009943843819200993,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/lms/localizer_panel.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/lms/localizer_clean.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/lms/physics.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/lms/physics.json,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/lms/eval_summary.json,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/lms/review_sheet.md,0,,,0,left,lateral,"left_atrium,pulmonary_artery,aorta",/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/lms/review_entry.json,
station_7_node_a,rms,False,,,,,0.19221097287123254,4.321017586336224,12.294288614807211,-5.598121649940108,True,True,0.42584562012142235,0.7886776883511147,0.03902862098872507,0.12,1.0,0.0,0.36914026737213135,mixed_occupancy,,,2.5024690780128362,1.3108165583430835,False,0.007248733192682266,0.18842275440692902,-0.042917022947221994,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/rms/localizer_panel.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/rms/localizer_clean.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/rms/physics.png,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/rms/physics.json,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/rms/eval_summary.json,/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/rms/review_sheet.md,0,,,0,right,lateral,"left_atrium,pulmonary_artery,azygous",/home/rjm/projects/EBUS_simulator/reports/_reference_review_smoke/presets/station_7_node_a/rms/review_entry.json,
